Industry,Gender,Education,AgeGroup,Wage_Yen,Employees
"Electricity, gas, heat supply and water",Female,VocationalSchool,60-64,185800,30
"Electricity, gas, heat supply and water",Female,VocationalSchool,65-69,163800,0
"Electricity, gas, heat supply and water",Female,VocationalSchool,70+,,
"Electricity, gas, heat supply and water",Female,TechnicalSchoolJuniorCollege,0-19,,
"Electricity, gas, heat supply and water",Female,TechnicalSchoolJuniorCollege,20-24,212200,210
"Electricity, gas, heat supply and water",Female,TechnicalSchoolJuniorCollege,25-29,254200,170
"Electricity, gas, heat supply and water",Female,TechnicalSchoolJuniorCollege,30-34,306700,240
"Electricity, gas, heat supply and water",Female,TechnicalSchoolJuniorCollege,35-39,327300,420
"Electricity, gas, heat supply and water",Female,TechnicalSchoolJuniorCollege,40-44,340000,300
"Electricity, gas, heat supply and water",Female,TechnicalSchoolJuniorCollege,45-49,373400,1120
"Electricity, gas, heat supply and water",Female,TechnicalSchoolJuniorCollege,50-54,382500,1060
"Electricity, gas, heat supply and water",Female,TechnicalSchoolJuniorCollege,55-59,424200,850
"Electricity, gas, heat supply and water",Female,TechnicalSchoolJuniorCollege,60-64,224200,130
"Electricity, gas, heat supply and water",Female,TechnicalSchoolJuniorCollege,65-69,,
"Electricity, gas, heat supply and water",Female,TechnicalSchoolJuniorCollege,70+,,
"Electricity, gas, heat supply and water",Female,University,0-19,,
"Electricity, gas, heat supply and water",Female,University,20-24,231200,920
"Electricity, gas, heat supply and water",Female,University,25-29,275700,1380
"Electricity, gas, heat supply and water",Female,University,30-34,343800,610
"Electricity, gas, heat supply and water",Female,University,35-39,396500,790
"Electricity, gas, heat supply and water",Female,University,40-44,391400,430
"Electricity, gas, heat supply and water",Female,University,45-49,398300,370
"Electricity, gas, heat supply and water",Female,University,50-54,479000,240
"Electricity, gas, heat supply and water",Female,University,55-59,440600,100
"Electricity, gas, heat supply and water",Female,University,60-64,279000,50
"Electricity, gas, heat supply and water",Female,University,65-69,,
"Electricity, gas, heat supply and water",Female,University,70+,,
Information and communications,Male,JuniorHigh,0-19,,
Information and communications,Male,JuniorHigh,20-24,206800,30
Information and communications,Male,JuniorHigh,25-29,230500,80
Information and communications,Male,JuniorHigh,30-34,314700,340
Information and communications,Male,JuniorHigh,35-39,359600,100
Information and communications,Male,JuniorHigh,40-44,330900,260
Information and communications,Male,JuniorHigh,45-49,428600,220
Information and communications,Male,JuniorHigh,50-54,473200,190
Information and communications,Male,JuniorHigh,55-59,360600,90
Information and communications,Male,JuniorHigh,60-64,343300,30
Information and communications,Male,JuniorHigh,65-69,212600,20
Information and communications,Male,JuniorHigh,70+,,
Information and communications,Male,HighSchool,0-19,201000,790
Information and communications,Male,HighSchool,20-24,216000,6320
Information and communications,Male,HighSchool,25-29,304300,7870
Information and communications,Male,HighSchool,30-34,295700,5790
Information and communications,Male,HighSchool,35-39,359800,4960
Information and communications,Male,HighSchool,40-44,393600,9480
Information and communications,Male,HighSchool,45-49,439800,10470
Information and communications,Male,HighSchool,50-54,486500,13690
Information and communications,Male,HighSchool,55-59,502900,16960
Information and communications,Male,HighSchool,60-64,305500,9960
Information and communications,Male,HighSchool,65-69,227100,1780
Information and communications,Male,HighSchool,70+,278600,190
Information and communications,Male,VocationalSchool,0-19,,
Information and communications,Male,VocationalSchool,20-24,226500,12670
Information and communications,Male,VocationalSchool,25-29,271800,13170
Information and communications,Male,VocationalSchool,30-34,320200,11420
Information and communications,Male,VocationalSchool,35-39,351800,17230
Information and communications,Male,VocationalSchool,40-44,387700,19710
Information and communications,Male,VocationalSchool,45-49,398000,23870
Information and communications,Male,VocationalSchool,50-54,444100,34430
Information and communications,Male,VocationalSchool,55-59,458300,19020
Information and communications,Male,VocationalSchool,60-64,335300,6490
Information and communications,Male,VocationalSchool,65-69,227900,1370
Information and communications,Male,VocationalSchool,70+,237600,50
Information and communications,Male,TechnicalSchoolJuniorCollege,0-19,,
Information and communications,Male,TechnicalSchoolJuniorCollege,20-24,236400,3800
Information and communications,Male,TechnicalSchoolJuniorCollege,25-29,287300,2870
Information and communications,Male,TechnicalSchoolJuniorCollege,30-34,334800,3370
Information and communications,Male,TechnicalSchoolJuniorCollege,35-39,359800,4600
Information and communications,Male,TechnicalSchoolJuniorCollege,40-44,385100,7770
Information and communications,Male,TechnicalSchoolJuniorCollege,45-49,498400,5730
Information and communications,Male,TechnicalSchoolJuniorCollege,50-54,509800,5990
Information and communications,Male,TechnicalSchoolJuniorCollege,55-59,470500,3560
Information and communications,Male,TechnicalSchoolJuniorCollege,60-64,386700,1080
Information and communications,Male,TechnicalSchoolJuniorCollege,65-69,277100,160
Information and communications,Male,TechnicalSchoolJuniorCollege,70+,258800,0
Information and communications,Male,University,0-19,,
Information and communications,Male,University,20-24,245200,47850
Information and communications,Male,University,25-29,293300,95060
Information and communications,Male,University,30-34,355400,70030
Information and communications,Male,University,35-39,416500,72680
Information and communications,Male,University,40-44,455500,86720
Information and communications,Male,University,45-49,505400,88210
Information and communications,Male,University,50-54,518800,64770
Information and communications,Male,University,55-59,543200,53270
Information and communications,Male,University,60-64,404700,31310
Information and communications,Male,University,65-69,327700,4160
Information and communications,Male,University,70+,325200,2410
Information and communications,Female,JuniorHigh,0-19,204000,10
Information and communications,Female,JuniorHigh,20-24,156300,10
Information and communications,Female,JuniorHigh,25-29,275500,10
Information and communications,Female,JuniorHigh,30-34,246500,320
Information and communications,Female,JuniorHigh,35-39,235700,100
Information and communications,Female,JuniorHigh,40-44,177700,10
Information and communications,Female,JuniorHigh,45-49,,
Information and communications,Female,JuniorHigh,50-54,225600,80
Information and communications,Female,JuniorHigh,55-59,392700,30
Information and communications,Female,JuniorHigh,60-64,,
Information and communications,Female,JuniorHigh,65-69,,
Information and communications,Female,JuniorHigh,70+,199200,10
Information and communications,Female,HighSchool,0-19,186000,1410
Information and communications,Female,HighSchool,20-24,239600,3840
Information and communications,Female,HighSchool,25-29,252100,3340
Information and communications,Female,HighSchool,30-34,230300,4120
Information and communications,Female,HighSchool,35-39,320900,3980
Information and communications,Female,HighSchool,40-44,273000,3640
Information and communications,Female,HighSchool,45-49,298300,3850
Information and communications,Female,HighSchool,50-54,289400,7310
Information and communications,Female,HighSchool,55-59,323300,4850
Information and communications,Female,HighSchool,60-64,265800,1730
Information and communications,Female,HighSchool,65-69,229500,1090
Information and communications,Female,HighSchool,70+,208300,80
Information and communications,Female,VocationalSchool,0-19,,
Information and communications,Female,VocationalSchool,20-24,220600,5380
Information and communications,Female,VocationalSchool,25-29,253800,5120
Information and communications,Female,VocationalSchool,30-34,260500,6450
Information and communications,Female,VocationalSchool,35-39,341900,6220
Information and communications,Female,VocationalSchool,40-44,331000,4650
Information and communications,Female,VocationalSchool,45-49,339200,3850
Information and communications,Female,VocationalSchool,50-54,346300,5240
Information and communications,Female,VocationalSchool,55-59,363700,2060
Information and communications,Female,VocationalSchool,60-64,346000,900
Information and communications,Female,VocationalSchool,65-69,157300,0
Information and communications,Female,VocationalSchool,70+,,
Information and communications,Female,TechnicalSchoolJuniorCollege,0-19,,
Information and communications,Female,TechnicalSchoolJuniorCollege,20-24,238600,1640
Information and communications,Female,TechnicalSchoolJuniorCollege,25-29,254500,2680
Information and communications,Female,TechnicalSchoolJuniorCollege,30-34,239100,3590
Information and communications,Female,TechnicalSchoolJuniorCollege,35-39,308100,8150
Information and communications,Female,TechnicalSchoolJuniorCollege,40-44,355200,4830
Information and communications,Female,TechnicalSchoolJuniorCollege,45-49,344700,6420
Information and communications,Female,TechnicalSchoolJuniorCollege,50-54,388500,8200
Information and communications,Female,TechnicalSchoolJuniorCollege,55-59,362700,3030
Information and communications,Female,TechnicalSchoolJuniorCollege,60-64,305200,1400
Information and communications,Female,TechnicalSchoolJuniorCollege,65-69,218200,220
Information and communications,Female,TechnicalSchoolJuniorCollege,70+,227500,20
Information and communications,Female,University,0-19,,
Information and communications,Female,University,20-24,251000,39070
Information and communications,Female,University,25-29,271200,68530
Information and communications,Female,University,30-34,322600,43000
Information and communications,Female,University,35-39,373900,27880
Information and communications,Female,University,40-44,399700,23780
Information and communications,Female,University,45-49,401700,23360
Information and communications,Female,University,50-54,441200,16200
Information and communications,Female,University,55-59,473300,9090
Information and communications,Female,University,60-64,357800,2550
Information and communications,Female,University,65-69,270500,350
Information and communications,Female,University,70+,290000,1000
Transport and postal activities,Male,JuniorHigh,0-19,185100,70
Transport and postal activities,Male,JuniorHigh,20-24,234000,1380
Transport and postal activities,Male,JuniorHigh,25-29,259900,5180
Transport and postal activities,Male,JuniorHigh,30-34,280400,6160
Transport and postal activities,Male,JuniorHigh,35-39,275100,11260
Transport and postal activities,Male,JuniorHigh,40-44,307200,13080
Transport and postal activities,Male,JuniorHigh,45-49,305500,17890
Transport and postal activities,Male,JuniorHigh,50-54,299900,24950
Transport and postal activities,Male,JuniorHigh,55-59,315200,16690
Transport and postal activities,Male,JuniorHigh,60-64,275300,13290
Transport and postal activities,Male,JuniorHigh,65-69,235600,9470
Transport and postal activities,Male,JuniorHigh,70+,220700,11130
Transport and postal activities,Male,HighSchool,0-19,200800,6580
Transport and postal activities,Male,HighSchool,20-24,226000,41740
Transport and postal activities,Male,HighSchool,25-29,251400,52420
Transport and postal activities,Male,HighSchool,30-34,275700,57240
Transport and postal activities,Male,HighSchool,35-39,292900,88410
Transport and postal activities,Male,HighSchool,40-44,306400,103930
Transport and postal activities,Male,HighSchool,45-49,316500,165780
Transport and postal activities,Male,HighSchool,50-54,313500,200940
Transport and postal activities,Male,HighSchool,55-59,310800,176600
Transport and postal activities,Male,HighSchool,60-64,271800,138920
Transport and postal activities,Male,HighSchool,65-69,240000,59420
Transport and postal activities,Male,HighSchool,70+,220700,33170
Transport and postal activities,Male,VocationalSchool,0-19,,
Transport and postal activities,Male,VocationalSchool,20-24,211300,6700
Transport and postal activities,Male,VocationalSchool,25-29,248000,11420
Transport and postal activities,Male,VocationalSchool,30-34,271000,9900
Transport and postal activities,Male,VocationalSchool,35-39,294400,16680
Transport and postal activities,Male,VocationalSchool,40-44,308900,20720
Transport and postal activities,Male,VocationalSchool,45-49,358200,31390
Transport and postal activities,Male,VocationalSchool,50-54,344900,29330
Transport and postal activities,Male,VocationalSchool,55-59,353300,19860
Transport and postal activities,Male,VocationalSchool,60-64,252800,10690
Transport and postal activities,Male,VocationalSchool,65-69,223900,2650
Transport and postal activities,Male,VocationalSchool,70+,221600,1630
Transport and postal activities,Male,TechnicalSchoolJuniorCollege,0-19,,
Transport and postal activities,Male,TechnicalSchoolJuniorCollege,20-24,222100,1760
Transport and postal activities,Male,TechnicalSchoolJuniorCollege,25-29,251400,3690
Transport and postal activities,Male,TechnicalSchoolJuniorCollege,30-34,280400,4820
Transport and postal activities,Male,TechnicalSchoolJuniorCollege,35-39,316600,5610
Transport and postal activities,Male,TechnicalSchoolJuniorCollege,40-44,339200,6320
Transport and postal activities,Male,TechnicalSchoolJuniorCollege,45-49,328400,8300
Transport and postal activities,Male,TechnicalSchoolJuniorCollege,50-54,358000,6420
Transport and postal activities,Male,TechnicalSchoolJuniorCollege,55-59,373300,3200
Transport and postal activities,Male,TechnicalSchoolJuniorCollege,60-64,285200,4560
Transport and postal activities,Male,TechnicalSchoolJuniorCollege,65-69,250200,2340
Transport and postal activities,Male,TechnicalSchoolJuniorCollege,70+,216200,1600
Transport and postal activities,Male,University,0-19,,
Transport and postal activities,Male,University,20-24,244400,17390
Transport and postal activities,Male,University,25-29,256300,27690
Transport and postal activities,Male,University,30-34,296200,29400
Transport and postal activities,Male,University,35-39,333300,38430
Transport and postal activities,Male,University,40-44,381900,44310
Transport and postal activities,Male,University,45-49,397300,42120
Transport and postal activities,Male,University,50-54,415400,45030
Transport and postal activities,Male,University,55-59,419500,39140
Transport and postal activities,Male,University,60-64,317600,29380
Transport and postal activities,Male,University,65-69,249700,11360
Transport and postal activities,Male,University,70+,258100,5570
Transport and postal activities,Female,JuniorHigh,0-19,,
Transport and postal activities,Female,JuniorHigh,20-24,177900,210
Transport and postal activities,Female,JuniorHigh,25-29,221100,730
Transport and postal activities,Female,JuniorHigh,30-34,250800,1260
Transport and postal activities,Female,JuniorHigh,35-39,219900,890
Transport and postal activities,Female,JuniorHigh,40-44,188800,1580
Transport and postal activities,Female,JuniorHigh,45-49,255300,1910
Transport and postal activities,Female,JuniorHigh,50-54,237200,1940
Transport and postal activities,Female,JuniorHigh,55-59,216100,970
Transport and postal activities,Female,JuniorHigh,60-64,186200,320
Transport and postal activities,Female,JuniorHigh,65-69,183200,220
Transport and postal activities,Female,JuniorHigh,70+,169600,90
Transport and postal activities,Female,HighSchool,0-19,194000,2840
Transport and postal activities,Female,HighSchool,20-24,205600,12860
Transport and postal activities,Female,HighSchool,25-29,219000,12480
Transport and postal activities,Female,HighSchool,30-34,217900,10150
Transport and postal activities,Female,HighSchool,35-39,233900,10420
Transport and postal activities,Female,HighSchool,40-44,230000,15160
Transport and postal activities,Female,HighSchool,45-49,234500,25340
Transport and postal activities,Female,HighSchool,50-54,242000,31050
Transport and postal activities,Female,HighSchool,55-59,233900,22280
Transport and postal activities,Female,HighSchool,60-64,214300,13620
Transport and postal activities,Female,HighSchool,65-69,212700,3520
Transport and postal activities,Female,HighSchool,70+,227700,2050
Transport and postal activities,Female,VocationalSchool,0-19,,
Transport and postal activities,Female,VocationalSchool,20-24,212400,4000
Transport and postal activities,Female,VocationalSchool,25-29,222200,3780
Transport and postal activities,Female,VocationalSchool,30-34,315700,3810
Transport and postal activities,Female,VocationalSchool,35-39,246100,2660
Transport and postal activities,Female,VocationalSchool,40-44,270200,3320
Transport and postal activities,Female,VocationalSchool,45-49,230100,5820
Transport and postal activities,Female,VocationalSchool,50-54,259700,5750
Transport and postal activities,Female,VocationalSchool,55-59,256000,2500
Transport and postal activities,Female,VocationalSchool,60-64,228500,2000
Transport and postal activities,Female,VocationalSchool,65-69,223300,980
Transport and postal activities,Female,VocationalSchool,70+,138400,20
Transport and postal activities,Female,TechnicalSchoolJuniorCollege,0-19,,
Transport and postal activities,Female,TechnicalSchoolJuniorCollege,20-24,197600,1930
Transport and postal activities,Female,TechnicalSchoolJuniorCollege,25-29,246000,1930
Transport and postal activities,Female,TechnicalSchoolJuniorCollege,30-34,248800,2280
Transport and postal activities,Female,TechnicalSchoolJuniorCollege,35-39,253200,2720
Transport and postal activities,Female,TechnicalSchoolJuniorCollege,40-44,255400,4200
Transport and postal activities,Female,TechnicalSchoolJuniorCollege,45-49,274600,9510
Transport and postal activities,Female,TechnicalSchoolJuniorCollege,50-54,286500,7870
Transport and postal activities,Female,TechnicalSchoolJuniorCollege,55-59,276700,4140
Transport and postal activities,Female,TechnicalSchoolJuniorCollege,60-64,225200,2970
Transport and postal activities,Female,TechnicalSchoolJuniorCollege,65-69,216300,240
Transport and postal activities,Female,TechnicalSchoolJuniorCollege,70+,168800,50
Transport and postal activities,Female,University,0-19,,
Transport and postal activities,Female,University,20-24,234200,10160
Transport and postal activities,Female,University,25-29,241900,17670
Transport and postal activities,Female,University,30-34,265500,9850
Transport and postal activities,Female,University,35-39,286000,9290
Transport and postal activities,Female,University,40-44,281600,6700
Transport and postal activities,Female,University,45-49,298000,5690
Transport and postal activities,Female,University,50-54,306900,5790
Transport and postal activities,Female,University,55-59,337400,2800
Transport and postal activities,Female,University,60-64,231600,1340
Transport and postal activities,Female,University,65-69,178100,70
Transport and postal activities,Female,University,70+,,
Wholesale and retail trade,Male,JuniorHigh,0-19,163000,380
Wholesale and retail trade,Male,JuniorHigh,20-24,200300,1200
Wholesale and retail trade,Male,JuniorHigh,25-29,295200,10840
Wholesale and retail trade,Male,JuniorHigh,30-34,273900,4730
Wholesale and retail trade,Male,JuniorHigh,35-39,258200,4320
Wholesale and retail trade,Male,JuniorHigh,40-44,309300,11860
Wholesale and retail trade,Male,JuniorHigh,45-49,316500,4780
Wholesale and retail trade,Male,JuniorHigh,50-54,330800,6200
Wholesale and retail trade,Male,JuniorHigh,55-59,357200,4340
Wholesale and retail trade,Male,JuniorHigh,60-64,277400,3000
Wholesale and retail trade,Male,JuniorHigh,65-69,215100,2150
Wholesale and retail trade,Male,JuniorHigh,70+,223800,1300
Wholesale and retail trade,Male,HighSchool,0-19,187200,10730
Wholesale and retail trade,Male,HighSchool,20-24,252000,88560
Wholesale and retail trade,Male,HighSchool,25-29,269300,104410
Wholesale and retail trade,Male,HighSchool,30-34,274600,68090
Wholesale and retail trade,Male,HighSchool,35-39,293200,115440
Wholesale and retail trade,Male,HighSchool,40-44,326500,113330
Wholesale and retail trade,Male,HighSchool,45-49,347700,142570
Wholesale and retail trade,Male,HighSchool,50-54,364800,165830
Wholesale and retail trade,Male,HighSchool,55-59,382100,110840
Wholesale and retail trade,Male,HighSchool,60-64,302800,78670
Wholesale and retail trade,Male,HighSchool,65-69,247000,21900
Wholesale and retail trade,Male,HighSchool,70+,227400,13360
Wholesale and retail trade,Male,VocationalSchool,0-19,,
Wholesale and retail trade,Male,VocationalSchool,20-24,223700,34660
Wholesale and retail trade,Male,VocationalSchool,25-29,247000,32650
Wholesale and retail trade,Male,VocationalSchool,30-34,281600,41970
Wholesale and retail trade,Male,VocationalSchool,35-39,303800,77060
Wholesale and retail trade,Male,VocationalSchool,40-44,349000,58430
Wholesale and retail trade,Male,VocationalSchool,45-49,396800,84940
Wholesale and retail trade,Male,VocationalSchool,50-54,399600,54340
Wholesale and retail trade,Male,VocationalSchool,55-59,409700,28420
Wholesale and retail trade,Male,VocationalSchool,60-64,317100,12280
Wholesale and retail trade,Male,VocationalSchool,65-69,231000,1950
Wholesale and retail trade,Male,VocationalSchool,70+,247700,780
Wholesale and retail trade,Male,TechnicalSchoolJuniorCollege,0-19,,
Wholesale and retail trade,Male,TechnicalSchoolJuniorCollege,20-24,219400,5470
Wholesale and retail trade,Male,TechnicalSchoolJuniorCollege,25-29,292500,13650
Wholesale and retail trade,Male,TechnicalSchoolJuniorCollege,30-34,268300,8760
Wholesale and retail trade,Male,TechnicalSchoolJuniorCollege,35-39,326800,9040
Wholesale and retail trade,Male,TechnicalSchoolJuniorCollege,40-44,356300,15810
Wholesale and retail trade,Male,TechnicalSchoolJuniorCollege,45-49,430400,20060
Wholesale and retail trade,Male,TechnicalSchoolJuniorCollege,50-54,411200,20610
Wholesale and retail trade,Male,TechnicalSchoolJuniorCollege,55-59,414100,11390
Wholesale and retail trade,Male,TechnicalSchoolJuniorCollege,60-64,369200,6840
Wholesale and retail trade,Male,TechnicalSchoolJuniorCollege,65-69,296900,1700
Wholesale and retail trade,Male,TechnicalSchoolJuniorCollege,70+,233600,450
Wholesale and retail trade,Male,University,0-19,,
Wholesale and retail trade,Male,University,20-24,246700,84840
Wholesale and retail trade,Male,University,25-29,284400,168130
Wholesale and retail trade,Male,University,30-34,320800,169370
Wholesale and retail trade,Male,University,35-39,365200,172430
Wholesale and retail trade,Male,University,40-44,416300,197150
Wholesale and retail trade,Male,University,45-49,452400,214380
Wholesale and retail trade,Male,University,50-54,476400,218700
Wholesale and retail trade,Male,University,55-59,493500,139230
Wholesale and retail trade,Male,University,60-64,356300,76410
Wholesale and retail trade,Male,University,65-69,447800,23390
Wholesale and retail trade,Male,University,70+,360300,5570
Wholesale and retail trade,Female,JuniorHigh,0-19,155100,410
Wholesale and retail trade,Female,JuniorHigh,20-24,180100,1000
Wholesale and retail trade,Female,JuniorHigh,25-29,183700,2060
Wholesale and retail trade,Female,JuniorHigh,30-34,218700,2760
Wholesale and retail trade,Female,JuniorHigh,35-39,217500,2480
Wholesale and retail trade,Female,JuniorHigh,40-44,189600,1610
Wholesale and retail trade,Female,JuniorHigh,45-49,215000,1210
Wholesale and retail trade,Female,JuniorHigh,50-54,192300,2460
Wholesale and retail trade,Female,JuniorHigh,55-59,200100,1050
Wholesale and retail trade,Female,JuniorHigh,60-64,190800,430
Wholesale and retail trade,Female,JuniorHigh,65-69,148600,650
Wholesale and retail trade,Female,JuniorHigh,70+,172200,220
Wholesale and retail trade,Female,HighSchool,0-19,214200,21310
Wholesale and retail trade,Female,HighSchool,20-24,222300,72470
Wholesale and retail trade,Female,HighSchool,25-29,220500,50920
Wholesale and retail trade,Female,HighSchool,30-34,226200,46050
Wholesale and retail trade,Female,HighSchool,35-39,225000,50180
Wholesale and retail trade,Female,HighSchool,40-44,244800,69340
Wholesale and retail trade,Female,HighSchool,45-49,238200,77920
Wholesale and retail trade,Female,HighSchool,50-54,241800,92960
Wholesale and retail trade,Female,HighSchool,55-59,235400,71890
Wholesale and retail trade,Female,HighSchool,60-64,202400,44230
Wholesale and retail trade,Female,HighSchool,65-69,182100,17030
Wholesale and retail trade,Female,HighSchool,70+,181600,11260
Wholesale and retail trade,Female,VocationalSchool,0-19,,
Wholesale and retail trade,Female,VocationalSchool,20-24,200900,22130
Wholesale and retail trade,Female,VocationalSchool,25-29,226900,29000
Wholesale and retail trade,Female,VocationalSchool,30-34,248100,24260
Wholesale and retail trade,Female,VocationalSchool,35-39,260200,25810
Wholesale and retail trade,Female,VocationalSchool,40-44,240000,24340
Wholesale and retail trade,Female,VocationalSchool,45-49,259000,29150
Wholesale and retail trade,Female,VocationalSchool,50-54,267200,23250
Wholesale and retail trade,Female,VocationalSchool,55-59,286200,12980
Wholesale and retail trade,Female,VocationalSchool,60-64,231700,6440
Wholesale and retail trade,Female,VocationalSchool,65-69,196200,1560
Wholesale and retail trade,Female,VocationalSchool,70+,196700,390
Wholesale and retail trade,Female,TechnicalSchoolJuniorCollege,0-19,,
Wholesale and retail trade,Female,TechnicalSchoolJuniorCollege,20-24,211700,11660
Wholesale and retail trade,Female,TechnicalSchoolJuniorCollege,25-29,223800,12800
Wholesale and retail trade,Female,TechnicalSchoolJuniorCollege,30-34,231500,11490
Wholesale and retail trade,Female,TechnicalSchoolJuniorCollege,35-39,238600,14580
Wholesale and retail trade,Female,TechnicalSchoolJuniorCollege,40-44,288500,28340
Wholesale and retail trade,Female,TechnicalSchoolJuniorCollege,45-49,282800,39410
Wholesale and retail trade,Female,TechnicalSchoolJuniorCollege,50-54,311900,31400
Wholesale and retail trade,Female,TechnicalSchoolJuniorCollege,55-59,280100,22220
Wholesale and retail trade,Female,TechnicalSchoolJuniorCollege,60-64,222900,9670
Wholesale and retail trade,Female,TechnicalSchoolJuniorCollege,65-69,201000,2240
Wholesale and retail trade,Female,TechnicalSchoolJuniorCollege,70+,206600,370
Wholesale and retail trade,Female,University,0-19,,
Wholesale and retail trade,Female,University,20-24,231600,77210
Wholesale and retail trade,Female,University,25-29,259000,128560
Wholesale and retail trade,Female,University,30-34,285800,89570
Wholesale and retail trade,Female,University,35-39,308000,59950
Wholesale and retail trade,Female,University,40-44,324600,62190
Wholesale and retail trade,Female,University,45-49,349400,52400
Wholesale and retail trade,Female,University,50-54,396800,39310
Wholesale and retail trade,Female,University,55-59,385300,18890
Wholesale and retail trade,Female,University,60-64,290600,7330
Wholesale and retail trade,Female,University,65-69,345900,1140
Wholesale and retail trade,Female,University,70+,404900,710
Finance and insurance,Male,JuniorHigh,0-19,,
Finance and insurance,Male,JuniorHigh,20-24,,
Finance and insurance,Male,JuniorHigh,25-29,224500,0
Finance and insurance,Male,JuniorHigh,30-34,296800,10
Finance and insurance,Male,JuniorHigh,35-39,500000,20
Finance and insurance,Male,JuniorHigh,40-44,299400,20
Finance and insurance,Male,JuniorHigh,45-49,501200,30
Finance and insurance,Male,JuniorHigh,50-54,531400,200
Finance and insurance,Male,JuniorHigh,55-59,377600,290
Finance and insurance,Male,JuniorHigh,60-64,155700,10
Finance and insurance,Male,JuniorHigh,65-69,230100,10
Finance and insurance,Male,JuniorHigh,70+,193800,80
Finance and insurance,Male,HighSchool,0-19,174100,160
Finance and insurance,Male,HighSchool,20-24,202900,1250
Finance and insurance,Male,HighSchool,25-29,372200,1040
Finance and insurance,Male,HighSchool,30-34,310400,990
Finance and insurance,Male,HighSchool,35-39,432100,1650
Finance and insurance,Male,HighSchool,40-44,402600,2110
Finance and insurance,Male,HighSchool,45-49,497800,4100
Finance and insurance,Male,HighSchool,50-54,468500,6330
Finance and insurance,Male,HighSchool,55-59,476300,6370
Finance and insurance,Male,HighSchool,60-64,303600,7210
Finance and insurance,Male,HighSchool,65-69,315300,1670
Finance and insurance,Male,HighSchool,70+,263100,660
Finance and insurance,Male,VocationalSchool,0-19,,
Finance and insurance,Male,VocationalSchool,20-24,206000,370
Finance and insurance,Male,VocationalSchool,25-29,284500,280
Finance and insurance,Male,VocationalSchool,30-34,294700,390
Finance and insurance,Male,VocationalSchool,35-39,377600,880
Finance and insurance,Male,VocationalSchool,40-44,488500,1230
Finance and insurance,Male,VocationalSchool,45-49,537100,1640
Finance and insurance,Male,VocationalSchool,50-54,468500,2550
Finance and insurance,Male,VocationalSchool,55-59,520400,880
Finance and insurance,Male,VocationalSchool,60-64,302100,840
Finance and insurance,Male,VocationalSchool,65-69,364900,120
Finance and insurance,Male,VocationalSchool,70+,359600,70
Finance and insurance,Male,TechnicalSchoolJuniorCollege,0-19,,
Finance and insurance,Male,TechnicalSchoolJuniorCollege,20-24,199100,380
Finance and insurance,Male,TechnicalSchoolJuniorCollege,25-29,288200,570
Finance and insurance,Male,TechnicalSchoolJuniorCollege,30-34,316500,210
Finance and insurance,Male,TechnicalSchoolJuniorCollege,35-39,419900,390
Finance and insurance,Male,TechnicalSchoolJuniorCollege,40-44,395900,670
Finance and insurance,Male,TechnicalSchoolJuniorCollege,45-49,457600,940
Finance and insurance,Male,TechnicalSchoolJuniorCollege,50-54,559200,1120
Finance and insurance,Male,TechnicalSchoolJuniorCollege,55-59,466600,840
Finance and insurance,Male,TechnicalSchoolJuniorCollege,60-64,292800,660
Finance and insurance,Male,TechnicalSchoolJuniorCollege,65-69,311400,200
Finance and insurance,Male,TechnicalSchoolJuniorCollege,70+,,
Finance and insurance,Male,University,0-19,,
Finance and insurance,Male,University,20-24,240400,26880
Finance and insurance,Male,University,25-29,309600,49060
Finance and insurance,Male,University,30-34,399200,38250
Finance and insurance,Male,University,35-39,499200,51380
Finance and insurance,Male,University,40-44,598300,46240
Finance and insurance,Male,University,45-49,654600,43960
Finance and insurance,Male,University,50-54,646200,55350
Finance and insurance,Male,University,55-59,612100,47820
Finance and insurance,Male,University,60-64,371000,22400
Finance and insurance,Male,University,65-69,371600,3880
Finance and insurance,Male,University,70+,350200,870
Finance and insurance,Female,JuniorHigh,0-19,,
Finance and insurance,Female,JuniorHigh,20-24,206300,470
Finance and insurance,Female,JuniorHigh,25-29,228300,1080
Finance and insurance,Female,JuniorHigh,30-34,224300,1150
Finance and insurance,Female,JuniorHigh,35-39,310600,1220
Finance and insurance,Female,JuniorHigh,40-44,259200,1150
Finance and insurance,Female,JuniorHigh,45-49,298400,1270
Finance and insurance,Female,JuniorHigh,50-54,324200,1460
Finance and insurance,Female,JuniorHigh,55-59,452700,760
Finance and insurance,Female,JuniorHigh,60-64,320000,400
Finance and insurance,Female,JuniorHigh,65-69,391500,390
Finance and insurance,Female,JuniorHigh,70+,411100,260
Finance and insurance,Female,HighSchool,0-19,169300,1820
Finance and insurance,Female,HighSchool,20-24,200700,8430
Finance and insurance,Female,HighSchool,25-29,233000,8920
Finance and insurance,Female,HighSchool,30-34,241900,10130
Finance and insurance,Female,HighSchool,35-39,243400,11460
Finance and insurance,Female,HighSchool,40-44,259700,13940
Finance and insurance,Female,HighSchool,45-49,301100,19290
Finance and insurance,Female,HighSchool,50-54,298900,27190
Finance and insurance,Female,HighSchool,55-59,315500,28320
Finance and insurance,Female,HighSchool,60-64,297800,16940
Finance and insurance,Female,HighSchool,65-69,308500,7270
Finance and insurance,Female,HighSchool,70+,333000,4130
Finance and insurance,Female,VocationalSchool,0-19,,
Finance and insurance,Female,VocationalSchool,20-24,209500,1020
